,x
Gnai3,a
Cdc45,f
Cav2,b
Klf6,c
Scmh1,d
Cox5a,f
Tbx2,a
Tbx4,d
Wnt3,e
Wnt9a,b
Xpo6,d
Tfe3,e
Axin2,d
Gna12,b
Slc22a18,f
Dlat,e
Sdhd,f
Ccnd2,d
Btbd17,e
Drp2,b
Lhx2,b
Gmpr,b
Mid2,d
Trim25,f
Dgke,f
Scpep1,f
Mnt,d
Hddc2,d
Tpd52l1,a
Cdh1,e
Cdh4,d
Ckmt1,f
Bcl6b,b
Alox12,f
Rtca,e
Dbt,e
Mcts1,e
Rem1,b
Rnf17,e
Trappc10,a
Ccm2,c
Tbrg4,e
Tmprss2,b
Fap,b
Ndufa9,f
Lck,f
Cttnbp2,b
Pparg,a
Septin1,f
Pdgfb,b
Acvrl1,b
Tamalin,f
Tom1l2,b
Gpa33,f
Itga5,b
Gabra2,b
Wdr77,e
Atp5pb,e
Sox9,a
Hnrnpd,e
C1d,a
Gm2a,f
Clcn4,b
Grm6,e
Sema4f,f
Hk2,f
Sez6,c
Hoxb6,d
Loxl3,a
Kat2b,f
Rab5b,b
Dnmt3l,e
Aire,e
Sult5a1,b
Rpl13,e
Rpa1,f
Serpinf1,a
Tubgcp3,a
Polr3d,e
Tcf7,d
Ddx3x,e
Il12rb1,e
Slc5a5,e
Kcnn3,b
Car4,e
Txnrd3,f
Fasl,d
Zfp512b,a
Dnajc5,a
Bcl11a,a
Pxmp4,b
Gnb1l,f
Dbh,a
Mmp11,a
Hip1r,f
Nsun5,e
Top1mt,d
Hoxa10,a
Hoxa4,a
Mmp14,b
Slc7a7,e
Icam4,e
Ilf2,d
S100a4,a
S100a6,d
Icam2,b
Mapk7,b
Epn2,f
Sec24b,a
N4bp3,f
Rmnd5b,f
Nhp2,e
Vps9d1,b
Zfp276,b
Kctd10,b
Col6a1,b
Pcbp3,a
Lgals9,b
Cfp,f
Timp1,f
Uxt,e
Cnnm3,c
Lman2l,a
Mcm3ap,f
Pcnt,f
Mxd1,a
Gmcl1,f
Oas1c,f
Uhrf1,f
Ramp2,b
Lsr,e
Hpn,e
Ckb,f
Itgb7,f
Pfdn5,a
Efnb2,a
Rrp15,e
Rnd2,f
Srr,a
Sync,f
Fndc5,b
Acp5,f
Cnn1,c
Fbxo9,c
Vps50,d
Ube2c,f
Smg5,e
Cct3,e
Glmp,d
Tmem79,e
Snd1,f
Col18a1,e
Kpnb1,e
Npepps,f
Tbx21,f
Cyp51,e
Def8,f
Meox1,a
Irx2,f
Col1a1,b
Dlx3,d
Itfg2,f
Nrip2,b
Gtf2h4,e
Tubb5,f
Ell2,f
Jup,f
Fkbp10,b
Mnx1,f
Nom1,e
Tnk1,e
Acap1,b
Tcea3,e
Ifrd1,e
Stk38l,f
Hoxc13,f
Hoxc8,a
Hoxc6,a
Gstt1,b
Gstt3,b
Ddt,e
Marveld3,e
Ddx18,e
Ubl3,f
Eef1e1,e
Akt1,b
Il16,a
Tcirg1,d
Naglu,b
Smo,a
Tspan33,e
Crnkl1,f
Rin2,b
Folh1,e
Chordc1,e
Rtcb,e
Pwp1,e
Fbxo7,f
Capns1,f
Lrp3,a
Folr1,e
Clpb,f
Septin7,a
Rac1,a
Nup214,e
Aif1l,a
Ltbp1,a
Ugp2,a
Kcnh6,e
Trmt1,e
Nacc1,e
Nfix,b
Slc1a5,d
Uba1,f
Vwf,f
Siae,b
Vsig2,f
Esam,b
Fam50a,e
Emd,f
Grik3,d
Gria3,b
Sipa1l2,f
Ap4e1,e
Blvra,b
Idh3g,f
Pnck,b
Bcap31,f
Fam98a,e
Kmt2a,a
Unc119,a
Rab34,b
Sdf2,b
Ccne1,e
Hsf2bp,f
Bbc3,e
Mybpc3,f
Psmc3,e
Acp2,a
Rapsn,f
Slc39a13,b
Celf2,b
Ddb2,e
Sf3a1,f
Clgn,e
Smg9,f
Paxip1,f
Mov10,f
Ppm1j,f
Rhoc,b
Tead3,b
Def6,f
Peg3,a
Zim1,b
Metrn,a
Angptl4,b
Dbf4,e
Daxx,f
Cd320,e
Tm9sf1,b
Dhrs1,a
Ncan,e
Tmem161a,d
Ndufa11,f
Bmp8b,e
Nr2f6,c
Ocel1,f
Dyrk1b,a
Braf,c
Hltf,e
Prpf6,e
Rgs19,c
