Genes	baseMean	log2FoldChange	pvalue	padj	is.TF	Phenotype
Acta2	1788.76824869546	10.7213134259959	0	0	-	-
Adamts1	4859.42944662293	8.39870459839549	0	0	-	reduced female fertility; decreased mature ovarian follicle number
Adamts12	1475.29162164164	8.96355744760404	0	0	-	abnormal testis morphology; enlarged testis
Adgra2	3800.87525523385	5.58865066552745	0	0	-	-
Amot	4014.84754219896	5.28587065401995	0	0	-	-
Apcdd1	1897.36069680132	-0.808874029045823	0	0	-	-
Ass1	1871.492942795	-5.71940977733668	0	0	-	-
Atp1a2	1369.63850441858	3.4835035725663	0	0	-	-
Bcat1	3749.53509547708	-5.95715203874296	0	0	-	-
Cacna1g	1559.68251359264	8.89792787798178	0	0	-	-
Capn6	12337.2642963688	6.95398151192257	0	0	-	-
Car4	962.253811201958	4.16809366394885	0	0	-	-
Cav1	1471.21612031498	8.69310092030334	0	0	-	reduced fertility; ovary cyst; abnormal gonadal fat pad morphology
Cd248	2318.42531151793	6.83337017051818	0	0	-	-
Cdx4	528.366343797489	-4.62394598967978	0	0	Yes	-
Cmtm3	2491.23601516529	4.81047940286086	0	0	-	-
D430019H16Rik	1518.15164984401	7.4812334584584	0	0	-	-
Dchs1	5212.32597482122	8.26111610796439	0	0	-	-
Dnmt3b	12053.2126010017	-3.12928314940633	0	0	-	-
Ednra	1321.58788385996	8.44020410612035	0	0	-	-
Emb	2188.20513117066	-0.959241365162068	0	0	-	-
Epop	5060.38012614523	-6.08399144289535	0	0	-	-
Etv5	4999.83754987358	-4.20304323003863	0	0	Yes	small testis; male infertility; female infertility; abnormal sexual interaction; decreased testis weight
Fetub	347.100650361518	-8.14347836093344	0	0	-	-
Fgf5	385.793261596282	0.8942703902974	0	0	-	-
Foxd3	397.781394659873	-8.83167795653132	0	0	Yes	-
Frem1	1276.27207131398	9.38121083229777	0	0	Yes	-
Fzd10	798.211631566167	-4.7104615775439	0	0	-	-
Gart	5427.73603106481	-2.1613297178762	0	0	-	-
Gata5	1676.19987242824	10.0198095854307	0	0	Yes	reduced female fertility
Gata6	3163.48895791109	6.96363879229855	0	0	Yes	reduced fertility
Ghr	1415.83163111506	8.77718687796285	0	0	-	impaired ovarian folliculogenesis; reduced male fertility; female infertility; delayed sexual maturation; decreased mature ovarian follicle number; abnormal ovary physiology; decreased testis weight; delayed male fertility; delayed female fertility
Gjb3	1249.34879368702	-7.85750684505926	0	0	-	-
Gpc3	10729.9401558102	3.95970786726576	0	0	-	-
