"","ESC_Rep1","ESC_Rep2","Epi_Rep1","Epi_Rep2","Meso_Rep2","OSC-D7_Rep1","OSC-D7_Rep2","OSC-D8_Rep1","OSC-D8_Rep2","OSC-D9_Rep1","OSC-D9_Rep2","OSC-D10_Rep1","OSC-D10_Rep2"
"Gnai3",48.03,57.48,75.61,93.78,83.5,135.3,117.76,124.67,134.67,149.14,133.12,133.27,124.4
"Cdc45",47.73,55.63,36.16,37.45,26,31.99,36.01,20.81,23.4,26.61,23.35,23.79,22.93
"H19",14.76,3.97,6.97,4.89,2483.09,4726.51,4318.86,6772.55,6023.34,7514.02,6664.31,8833.34,7418.34
"Scml2",2.24,6.65,2.62,5.73,2.68,3.39,4.63,4.58,4.97,9.03,3.96,5.99,3.93
"Apoh",0.27,0.67,0,0,0,0.14,0.2,0,0,0.19,0.12,0.29,0.11
"Narf",7.21,11.96,12.31,10.87,6.01,20.89,19.32,20.23,20.19,19.58,16.92,18.94,18.12
"Cav2",0,0,0.1,0.16,0.94,0.97,1.72,5.05,3.3,6.01,5.08,5.75,8.27
"Klf6",15.18,25.85,26.53,37.16,31.18,13.76,15.52,20.1,17.19,37.32,40.45,47.58,40.7
"Scmh1",30.48,48.25,17.89,22.58,43.06,55.11,36.51,22.03,20.72,34.1,22.24,38.02,31.03
"Cox5a",1150.38,990.11,435.28,495.36,324.62,281.89,239.05,185.18,210.13,248.39,165.95,219.47,235.88
"Tbx2",0.52,1.25,0.15,0.07,5.79,99.57,52.4,66.13,50.26,82.85,74.7,108.68,106.39
"Tbx4",0.51,1.08,1.26,0.85,0.94,0.76,3.25,0.02,0.65,0.02,0.1,0.08,0.28
"Ngfr",27.07,38.2,1.27,1.81,20.62,7.53,4.07,12.24,16.31,20.78,33.87,53.19,56.88
"Wnt3",0.27,0.18,5.19,4.12,7.1,0.03,0.1,0.09,0.03,0.02,0.15,0.4,0.08
"Wnt9a",0.44,0.35,1.07,0.61,1.99,0.7,1.54,1.36,2.05,2.36,4.31,3.49,4.03
"Fer",13.33,15.33,9.04,12.83,9.83,16.62,17.79,18.34,21.95,24.43,20.83,20.23,20.34
"Xpo6",95.67,132.16,94.03,86.26,98.67,80.94,59.13,61.84,64.18,70.31,58.23,78.56,96.53
"Tfe3",54.61,93.82,75.13,88.02,39.61,39.31,26.88,42.89,32.56,39.17,39.92,47.89,42.81
"Axin2",20.51,21.95,8.15,6.19,398.75,15.05,16.3,15.12,16.92,11.2,17,15.12,12.13
"Brat1",5.92,11.37,8.67,6.74,7.79,11.61,8.49,11.69,9.39,13.45,9.11,15.87,14.13
"Gna12",15.36,31.19,31.23,31.11,22.39,66.65,48.56,49.41,49.75,68.2,58.3,87.42,85.33
"Slc22a18",2.49,1.71,1.24,0.78,1.05,0.3,0.06,0.28,1.2,0.93,0.36,0.69,1.14
"Itgb2l",0,0,0,0,0,0,0,0,0,0,0.02,0,0
"Igsf5",0.1,0,0.07,0.18,0,1.26,0.87,0.44,0.07,0.76,0.22,0.58,1.29
"Pih1d2",0.55,1.61,2.24,1.77,2.04,3.46,3.04,2.21,1.91,1.8,0.95,0.81,1.05
"Dlat",65.48,60.66,65.61,66.75,52,38.5,30.48,31.51,31.58,41.04,31.38,43.66,28.1
"Sdhd",204.58,200.66,159.43,182.21,154.37,133.79,127.94,109.57,120.13,125.41,108.44,125.93,137.79
"Fgf23",0.04,0.15,0.13,0,0,0.04,0,0,0,0,0,0,0
"Fgf6",0,0,0,0.01,0,0,0,0,0,0,0,0,0
"Ccnd2",0.94,1.26,8.48,9.43,102.41,131.14,125.68,68.22,106.92,85.31,81.97,132.66,100.54
"Gpr107",27.81,48.27,29.14,30.74,27.01,30.14,27.61,37.75,33.92,43.58,47.59,42.65,39.34
"Nalcn",0.09,0.27,0.24,0.19,0,0.53,0.09,0.34,0.03,0.54,0.3,0.63,0.49
"Btbd17",0,0.12,10.69,8.96,0.54,0.35,0.14,0.28,0.75,0.3,0.34,0.55,1.14
"Slfn4",0,0.02,0.03,0,0,0,0,0,0,0,0,0,0
"Th",0,0.54,0.2,0.64,0,1.95,0.45,0.37,0.64,0.22,0.34,0,1.22
"Scnn1g",0,0,0,0,0,0.08,0,0,0,0,0.09,0,0
"Drp2",0.15,0.52,0.11,0.16,0.26,1.57,0.95,2.37,2.49,4.86,4.84,6.52,6.32
"Tspan32",0.17,0.63,0.7,0.51,0,0.6,0.02,0.65,0.45,0.73,0.63,0.17,0.33
"Lhx2",1.74,4.66,1.38,0.7,1.42,2.7,3.54,2.56,8.47,6.44,12.21,10.62,19.32
"Clec2g",0,0.06,0,0,0,0,0,0,0,0,0.15,0,0
"Gmpr",4.85,3.03,7.32,5.93,7.88,5.97,5.21,7.42,10.6,13.7,15.77,17.76,23.99
"Glra1",0,0,0,0,1.09,0.04,0,0,0,0.08,0.3,0.31,0
"Mid2",0.1,0.11,0.12,0.2,3.99,2.94,1.89,2.96,2.68,5.48,4.22,7.07,6.14
"Trim25",38.32,67.21,44.49,35.8,23.31,16.62,11.24,13.65,12.13,18.9,18.2,30.27,18.13
"Dgke",6.15,8.19,3.98,3.8,1.95,4.23,2.2,3.25,2.06,4,2.6,4.39,2.45
"Scpep1",198.97,185.18,71.54,64.46,97.45,91.07,61.64,75.98,68.45,104.27,73.73,110.83,94.29
"Mnt",30.94,39.81,27.8,15.8,15.19,69.77,31.09,35.22,26.51,31.55,28.1,38.02,37.53
"Itgb2",0.14,0.28,0.32,0.24,0.28,0.29,0,0.03,0.13,0,0.13,0.03,0.32
"Hddc2",55.72,43.66,55.36,49.24,112.11,55.91,53.11,46.18,53.53,56.02,42.15,43.33,45.32
"Tpd52l1",28.85,24.64,17.76,20.29,53.84,54.91,84.16,27.35,56.64,25.93,26.79,18.49,24.85
"Pemt",11.22,8.21,16.08,12.54,9.92,9.33,8.43,7.34,4.6,9.57,5.09,13.47,8.03
"Cdh1",204.98,159.96,338.35,312.55,24.2,2.04,1.03,1.27,1.78,3.75,2.3,12.42,5.76
"Cdh4",2.53,7.5,5.03,5.35,8.98,1.19,0.69,0.54,0.76,0.96,1.06,1.74,1.16
"Ckmt1",16.13,18.47,6.92,5.51,1.96,0.26,0.09,1.77,0.57,1.41,1,2.97,4.93
"Bcl6b",0.41,0.42,3.2,2.08,0.17,2.01,5.17,5.55,8.26,10.45,11.34,9.07,10.82
"Clec10a",0.33,0.29,0.38,0.69,0,0.13,0,0.12,0,0,0,0,0.38
"Alox12",5.81,6.23,2.08,1.37,0.16,0.18,0.26,0.22,0.28,0.17,0.4,0.18,0.26
"Comt",20.11,23.95,13.58,12.76,33.15,21.15,14.88,18.99,15.93,23.93,18.91,31.98,34.05
"Rtca",47.86,59.55,62.53,55.56,52.72,57.27,51.28,44.99,48.13,49.21,34.77,47.93,49.85
"Dbt",14.44,17.02,20.9,20.62,17.8,10.17,14.18,18.28,12.28,16.67,12.87,10.96,9.19
"Dazap2",59.8,61.32,54.33,51.05,66.43,135.68,102.7,101.69,109.82,104.48,81.16,106.97,88.62
"Mcts1",40.11,48.99,54.03,73.32,50.86,38.85,28.23,41.56,42.47,49.96,35.74,36.22,47.84
"Rem1",0,0,1.16,0.2,0.06,2.84,0.78,0.72,0.77,2.04,0.84,3.17,5.2
"Rnf17",45.65,53.55,28.17,50.91,3.3,1.13,1.38,1.72,2.08,0.77,1.3,1.25,1.58
"Trappc10",4,9.53,11.64,9.45,6.86,21.34,14.31,19.04,16.12,24.15,16.83,24.99,20.04
"Ccm2",29.69,30.25,60.23,43.22,48.93,75.56,58.5,55.27,51.84,77.77,56.14,86.06,88.01
"Tbrg4",119.92,146.45,175.31,112.76,57.58,70.96,30.93,33.02,26.42,39.93,22.55,58.22,40.71
"Tmprss2",0,0.17,0.84,0.18,1.52,0.43,0.44,0.28,0.72,2.11,0.47,4.52,1.59
"Fap",0,0,0,0,0,0.04,0.05,0.21,0.73,1.13,1.45,2.45,3.55
"Gcg",0,0,0,0,0,0,0,0.13,0,0.35,0,0.08,0
"Ndufa9",141.13,120.47,99.38,120.85,75.78,101.64,85.81,104.14,105.65,104.91,93.39,98.76,92.34
"Egfl6",6.68,8.16,2.78,3.5,0.3,2.38,1.67,2.95,4.84,6.25,8.94,7.89,11.36
