"","ESC_Rep1","ESC_Rep2","Epi_Rep1","Epi_Rep2","Meso_Rep2","OSC-D7_Rep1","OSC-D7_Rep2","OSC-D8_Rep1","OSC-D8_Rep2","OSC-D9_Rep1","OSC-D9_Rep2","OSC-D10_Rep1","OSC-D10_Rep2"
"Gnai3",2837.97248358804,2795.90174865162,3650.78967811941,4753.32534240634,4334.44139441592,5150.94577128645,5339.38509260343,5114.09294894397,5313.57160655664,5091.92322507601,5519.65016762815,4442.01469408145,4441.13891793713
"Cdc45",1582.15933218955,1515.28973208398,990.252601122164,1114.51196836637,760.518466358692,716.309020605173,925.710671214289,492.319360507376,557.812707405077,531.566152072223,557.244172077231,464.153386564422,468.590548960063
"Scml2",125.305917518928,319.647233203296,127.067811648419,285.648855823203,163.151765587084,160.179655361458,185.345810958196,211.907405635828,179.69805339224,266.533875685931,182.675533102009,222.893802540828,163.614018491642
"Apoh",5.50795241841444,11.1269606494818,0,0,0,1.79977140855571,3.05515073008016,0,0,2.25239894945857,1.67592232203678,3.33923299686634,1.30891214793314
"Narf",571.450063410498,663.571471460008,758.901550948491,678.014840366873,412.375722468142,1080.7627308377,1191.50878473126,1128.95497140467,1070.70090146209,908.467576281623,871.479607459128,752.162232544144,765.713606540885
"Cav2",0,0,1.75265947101268,4.81430655881803,15.4159148586221,22.4971426069464,39.7169594910421,94.9929749401987,86.1053172504481,145.655132064988,140.77747505109,128.560470379354,136.126863385046
"Klf6",1108.47542420591,1179.45782884507,1199.69540790818,1732.34797674802,2081.14850591399,599.323879049052,711.850120108677,936.228839554843,751.237695431446,1349.9377703755,1775.63970019797,1692.15632116202,1704.20361660894
"Scmh1",842.716720017409,1275.55430718151,439.041197488676,593.764475587557,1233.27318868977,1164.45210133555,1059.11891976112,631.155246958436,581.522867227664,711.758068028908,630.146793085831,685.377572606817,679.325404777298
"Cox5a",11994.943379202,8358.37053151531,3632.38675367378,4360.95935786267,2938.01644013907,1869.06260778511,1887.06476761285,1314.37395133602,1446.31974917782,1457.30212029969,1179.01135355288,1239.69025008663,1465.98160568511
"Tbx2",34.4247026150902,67.7733057741167,7.88696761955706,4.01192213234836,335.296148175031,4227.66303869737,2650.85245013289,3026.98768222902,2212.53228239195,3155.61092819146,3455.75182803985,4042.14154270671,4236.94862285956
"Tbx4",27.5397620920722,50.5770938612811,58.7140922789248,41.7239901764229,44.9630850043145,27.8964568326135,135.44501570022,0.913393989809603,23.7101598225872,0.750799649819523,4.18980580509196,2.50442474764976,9.16238503553196
"Ngfr",1692.31838055784,1966.43740932661,64.8484004274692,97.0885156028303,1133.06974210873,303.261482341637,195.52964672513,531.595302069189,681.355119112242,750.799649819523,1486.54309964663,1876.64894423888,2149.23374690621
"Wnt3",15.1468691506397,8.09233501780497,235.732698851205,196.58418448507,346.858084318998,0.899885704277856,4.07353430677355,3.65357595923841,1.24790314855722,0.750799649819523,5.86572812712875,12.5221237382488,2.61782429586627
"Wnt9a",26.1627739874686,17.1962119128356,52.5797841303804,31.2929926323172,105.342084867251,26.9965711283357,71.2868503685371,56.6304273681954,82.3616078047765,81.837161830328,181.837571940991,118.542771388755,146.598160568511
"Fer",687.117064197201,676.721515863941,392.59572150684,589.752553455209,462.477445758664,569.627650807883,730.181024489158,682.305310387773,782.435274145377,725.27246172566,780.979802069142,600.227131186725,625.660006712039
"Xpo6",3425.94640425378,5382.41432871753,3820.79764680764,3936.49799626021,4907.39956332804,2658.26237043679,2591.78620268467,2330.98146199411,2343.56211299046,2197.59057502174,2248.24979501235,2463.51914343814,2799.76308442898
"Tfe3",2547.42799351668,3846.89375908904,2995.29503596067,3520.06047892245,1492.77442214324,1272.43838584889,966.446014282024,1187.41218675248,1091.91525498757,1086.40709328885,883.211063713385,1151.20057566967,1158.38725092083
