"","ESC_Rep1","ESC_Rep2","Epi_Rep1","Epi_Rep2","Meso_Rep2","OSC-D7_Rep1","OSC-D7_Rep2","OSC-D8_Rep1","OSC-D8_Rep2","OSC-D9_Rep1","OSC-D9_Rep2","OSC-D10_Rep1","OSC-D10_Rep2"
"Gnai3",2061,2764,4166,5924,3374,5724,5243,5599,4258,6782,6587,5321,3393
"Cdc45",1149,1498,1130,1389,592,796,909,539,447,708,665,556,358
"Scml2",91,316,145,356,127,178,182,232,144,355,218,267,125
"Apoh",4,11,0,0,0,2,3,0,0,3,2,4,1
"Narf",415,656,866,845,321,1201,1170,1236,858,1210,1040,901,585
"Cav2",0,0,2,6,12,25,39,104,69,194,168,154,104
"Klf6",805,1166,1369,2159,1620,666,699,1025,602,1798,2119,2027,1302
"Scmh1",612,1261,501,740,960,1294,1040,691,466,948,752,821,519
"Cox5a",8711,8263,4145,5435,2287,2077,1853,1439,1159,1941,1407,1485,1120
"Tbx2",25,67,9,5,261,4698,2603,3314,1773,4203,4124,4842,3237
"Tbx4",20,50,67,52,35,31,133,1,19,1,5,3,7
"Ngfr",1229,1944,74,121,882,337,192,582,546,1000,1774,2248,1642
"Wnt3",11,8,269,245,270,1,4,4,1,1,7,15,2
"Wnt9a",19,17,60,39,82,30,70,62,66,109,217,142,112
"Fer",499,669,448,735,360,633,717,747,627,966,932,719,478
"Xpo6",2488,5321,4360,4906,3820,2954,2545,2552,1878,2927,2683,2951,2139
"Tfe3",1850,3803,3418,4387,1162,1414,949,1300,875,1447,1054,1379,885
"Axin2",876,1150,475,374,16723,658,703,616,478,571,780,619,408
"Brat1",264,565,488,436,319,513,386,539,303,626,455,658,393
"Gna12",691,1573,1805,2013,931,2945,2220,2291,1608,3253,2995,3647,2441
"Slc22a18",48,35,29,20,19,3,1,4,9,19,8,11,14
"Itgb2l",0,0,0,0,0,0,0,0,0,0,1,0,0
"Igsf5",2,0,2,6,0,28,21,9,1,7,5,12,3
"Pih1d2",8,10,29,32,25,33,29,27,11,14,17,12,11
"Dlat",1869,2731,3315,3226,1552,1393,1087,1103,764,1503,1187,1347,734
"Sdhd",3133,3442,3128,4103,2218,2019,2019,1742,1347,2026,1901,1777,1336
"Fgf23",1,4,4,0,0,1,0,0,0,0,0,0,0
"Fgf6",0,0,0,1,0,0,0,0,0,0,0,0,0
"Ccnd2",46,64,575,759,6939,7741,8474,3939,3497,5256,5814,6678,3564
"Gpr107",1274,2224,1287,1601,1261,1786,1613,2111,1534,2670,2529,2382,1733
"Nalcn",9,16,30,26,0,50,9,34,2,55,32,56,30
"Btbd17",0,3,253,226,9,11,2,7,12,7,8,12,13
"Slfn4",0,1,2,0,0,0,0,0,0,0,0,0,0
"Th",0,4,6,16,0,19,9,9,8,5,4,0,7
"Scnn1g",0,0,0,0,0,3,0,0,0,0,4,0,0
"Drp2",8,36,11,13,18,114,69,197,139,382,384,462,285
"Tspan32",3,13,11,15,0,3,1,12,5,15,14,3,3
"Lhx2",62,139,38,27,34,99,128,95,215,238,494,330,416
"Clec2g",0,2,0,0,0,0,0,0,0,0,2,0,0
"Gmpr",88,68,184,175,146,118,108,155,156,288,363,327,305
"Glra1",0,0,0,0,28,1,0,0,0,2,8,9,0
"Mid2",8,5,12,25,292,197,133,199,121,352,355,400,203
"Trim25",2509,4488,3449,3561,1537,1062,836,890,579,1345,1278,1769,826
"Dgke",492,738,355,414,167,354,184,258,132,347,255,327,125
"Scpep1",5388,5619,2486,2569,2482,2431,1728,2148,1363,2988,2297,2784,1621
"Mnt",1360,2422,1737,1418,640,3085,1544,1683,1060,1844,1544,1727,1169
"Itgb2",1,10,15,14,10,2,0,1,3,0,2,1,7
"Hddc2",573,496,718,743,1103,566,563,491,407,600,498,408,290
"Tpd52l1",389,374,314,418,695,731,1144,376,550,370,416,227,216
"Pemt",96,90,191,175,78,83,70,67,28,82,50,115,47
"Cdh1",12015,10299,25206,26901,1340,118,63,78,67,234,156,673,213
"Cdh4",198,716,341,436,713,74,61,48,48,87,105,139,63
"Ckmt1",310,376,139,158,33,5,2,15,4,28,21,48,22
"Bcl6b",18,21,176,120,7,83,238,252,231,402,486,228,282
"Clec10a",3,4,2,7,0,1,0,1,0,0,0,0,1
"Alox12",209,254,98,71,5,7,8,8,8,7,16,5,6
"Comt",439,560,391,415,684,450,319,422,260,556,474,612,467
"Rtca",969,1333,1618,1650,970,1122,1057,908,704,1033,808,885,640
"Dbt",560,627,946,1250,600,403,412,531,323,644,506,443,234
"Dazap2",1633,1865,1901,2048,1650,3472,2801,2725,2077,2938,2406,2520,1450
"Mcts1",341,476,575,939,411,336,256,373,277,469,362,289,254
"Rem1",0,0,16,4,1,32,17,16,12,31,20,39,43
"Rnf17",1207,1931,956,2051,150,39,42,42,34,42,48,63,26
"Trappc10",248,622,886,865,417,1243,958,1181,735,1450,1194,1437,779
"Ccm2",676,728,1748,1452,1046,1646,1374,1345,848,1834,1440,1805,1266
"Tbrg4",3362,4155,5326,4283,1295,1729,865,886,504,1111,708,1244,669
"Tmprss2",0,2,15,11,46,9,19,12,8,33,12,108,33
"Fap",0,0,0,0,0,1,2,4,11,29,58,32,51
"Gcg",0,0,0,0,0,0,0,1,0,4,0,1,0
"Ndufa9",2390,2421,2302,3217,1287,1777,1559,1865,1303,1869,1825,1508,1060
"Egfl6",236,323,126,182,10,83,61,109,126,234,364,259,255
"Lck",565,487,377,369,162,138,122,103,76,83,113,99,66
"Tssk3",0,0,3,3,0,0,0,0,0,0,0,0,0
"Cttnbp2",46,96,19,20,31,185,165,238,211,305,277,333,182
"Galnt1",1546,1998,947,1463,2271,2913,2918,3096,2510,4200,3932,3457,2091
"Myf5",0,0,2,5,0,1,0,0,0,0,0,0,0
"Mkrn2",820,890,1085,1146,588,870,667,880,618,1210,912,1030,728
"Pparg",0,0,1,2,1,218,61,66,25,64,22,75,9
"Raf1",2347,3599,3030,3496,1561,3458,2740,2862,2201,3666,2859,3250,2165
"Septin1",3596,4411,407,818,17,96,100,49,37,90,51,50,22
"Pdgfb",29,52,53,50,10,20,56,57,52,134,158,107,119
"Acvrl1",3,5,10,17,57,82,150,138,154,189,182,157,127
"Tamalin",268,508,178,170,262,82,124,225,208,249,354,249,246
"Acvr1b",410,621,758,761,996,945,1040,956,685,909,833,908,500
"Tom1l2",176,457,324,294,188,1230,828,1692,987,2134,1653,2081,1134
"Gpa33",1914,2792,410,808,18,14,9,2,2,16,7,66,11
"Zfp385a",730,1051,976,927,1253,2335,1774,980,880,1070,1021,1241,951
"Itga5",360,587,925,1069,960,1352,1651,1523,1365,2478,2346,2801,2142
"Gabra2",0,0,3,2,0,0,0,7,4,20,16,22,5
"Wdr77",3089,4189,5932,7001,2616,2447,2064,1688,1250,2099,1702,1828,1293
"Atp5pb",5299,5761,7102,9127,4222,5361,5009,5411,4089,6408,5319,4753,3231
"Sox9",4,2,40,25,98,3479,1349,2613,1186,2131,1626,1773,869
"Hnrnpd",8744,8073,8997,15125,9293,11812,14906,11829,10968,10353,12298,6940,4845
"Dynlt1c",13,18,18,32,22,38,55,39,54,33,42,26,6
"C1d",752,701,1109,1247,642,1906,1430,2927,1769,3878,2487,2500,1521
"Gm2a",956,1497,653,596,151,639,428,711,417,1044,927,943,651
"Krit1",303,461,530,501,559,684,617,752,508,891,712,688,404
"Clcn4",151,250,270,344,478,1552,1162,1739,993,2121,1833,1957,1277
"Vmn2r88",0,0,0,0,0,0,0,0,0,3,0,0,0
"Grm6",1,0,72,72,2,0,0,0,0,1,0,0,0
"Sema4f",126,265,80,72,32,13,8,22,23,36,40,81,45
"Hk2",5108,8682,5097,6530,3747,720,956,530,456,565,493,586,344
"Myo18a",786,1047,744,688,720,1511,1190,1713,1117,1859,1738,2004,1012
"Sez6",4,24,111,73,0,37,1,141,15,291,43,315,44
"Haao",4,0,2,0,1,2,0,4,0,1,4,5,3
"Cd52",1,0,0,0,2,0,0,6,5,6,14,10,3
"Abhd15",8,19,14,10,11,10,7,16,3,22,9,32,11
"Hoxb6",2,1,0,0,2204,764,251,323,148,309,200,255,142
"Loxl3",3,20,54,70,16,415,411,626,528,867,738,672,525
"Btn1a1",1,9,5,3,15,14,13,1,15,4,10,9,8
"Kat2b",1360,2534,1325,1917,70,356,166,430,189,428,321,361,144
"Rab5b",1247,1765,1046,1096,1490,3213,2768,3609,2504,4287,3742,3528,2457
"Cryba1",0,0,1,1,0,0,0,0,0,0,0,0,0
"Dnmt3l",444,496,6884,13535,104,21,5,30,9,77,24,105,17
"Aire",24,25,166,186,0,0,0,0,3,0,0,1,1
"Icosl",68,98,302,250,52,43,45,45,16,76,77,91,66
"Spg7",796,927,1195,1309,1006,1381,1042,1103,781,1318,1090,1315,673
"Sult5a1",2,2,29,18,9,58,49,98,29,154,100,150,80
"Rpl13",22265,17755,26247,29436,18538,16995,13206,9446,8160,11520,10970,7582,7503
"Chmp1a",2061,2017,2332,2404,1045,1907,1378,1851,1133,2412,1973,2434,1596
"Rpa1",6711,8140,8121,7966,3206,4819,3683,4424,2909,6046,4872,4792,3046
"Serpinf1",37,38,874,384,148,1952,1602,1106,1028,1315,1699,1015,1048
"Tubgcp3",482,794,1004,946,555,1810,1248,1577,904,1804,1221,1592,774
"Oprm1",0,0,1,6,0,0,0,0,0,0,2,6,2
"Polr3d",430,650,1039,1272,886,501,606,527,467,576,580,478,355
"Tcf7",1196,1743,3533,2722,5514,565,578,270,272,304,351,326,220
"Ddx3x",10563,17211,26424,34589,15160,15861,14313,12816,9950,14969,15271,13071,6681
"Il12rb1",26,11,63,52,13,3,2,3,0,0,1,3,0
"Slc5a5",28,15,541,485,1,7,3,5,3,8,5,11,4
"Kcnn3",4,2,6,6,3,181,207,762,315,664,623,436,275
"Usp32",792,1190,1322,1177,976,1790,1369,1829,976,2237,1647,1831,865
"Car4",4,0,7219,7333,112,2,3,6,12,24,25,46,36
"Txnrd3",326,380,397,517,250,391,349,367,232,379,309,310,181
"Fasl",0,0,1,0,70,0,0,0,2,0,0,1,0
