Cluster	cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
a	a	GO:0003002	regionalization	106/2147	454/28928	0.233480176211454	3.14583816369117	13.0483313385386	9.23172500218848e-27	5.44764092379142e-23	3.72281457719832e-23	Tbx2/Hoxa10/Hoxa4/Meox1/Hoxc8/Hoxc6/Smo/Kmt2a/Mef2c/Apc/Ctnnb1/Tgfbr1/Hipk1/Wnt2/Fuz/Aldh1a2/Hoxa2/Gata5/Wt1/Kif3a/Psen1/Ascl1/Frs2/Ccdc103/Gli3/Ror2/Bmpr1a/Gata4/Hoxc10/Ift140/Dync2li1/Mib1/Ring1/Sufu/Gdf11/Nrp1/Vangl2/Bmi1/Zeb2/Lhx3/Ift74/Sema3c/Smarcd3/Ctnnbip1/Lrp6/Ift122/Nr2f2/Disp1/Fgfr2/Sfrp1/Ednra/Irx3/Smad3/Chsy1/Rpgrip1l/Pbx2/Crb2/Hoxc9/Meox2/Pcdh8/Alx1/Smad6/Spry1/Hand1/Wdr19/Tbc1d32/Hand2/Hoxa7/Hoxa5/Hoxb5/Cc2d2a/Gas8/Daam2/Alx4/Gpr161/Rfx3/Isl1/Foxf1/Ppp2r3a/Hoxa6/Emx2/Foxc2/Tshz1/Dync2h1/C2cd3/Pskh1/Hoxb3/Tmem67/Nkx3-2/Foxc1/Acvr2a/Bmpr1b/Pbx1/Kdm2a/Gpc3/Irx1/Hipk2/Cyp26b1/Anks6/Bmpr2/Nr2f1/Hoxc4/Hoxb2/Foxd1/Hoxa3/Pierce2	106
a	a	GO:0003007	heart morphogenesis	80/2147	301/28928	0.26578073089701	3.58104563734919	12.7451613461338	2.43660702970252e-24	7.18920904113728e-21	4.91296922673176e-21	Tbx2/Sox9/Sec24b/Smo/Rac1/Dvl3/Insr/Mef2c/Gata6/Ctnnb1/Tgfbr1/Zmiz1/Mrtfb/Tafazzin/Prox1/Wnt2/Aldh1a2/Gata3/Gata5/Tbx5/Kif3a/Psen1/Id2/Ccdc103/Sav1/Bmpr1a/Gata4/Fgf9/Angpt1/Has2/Tab1/Emp2/Snai2/Adamts1/Mib1/Pdcd4/Sufu/Nrp1/Tnni1/Vangl2/Olfm1/Sema3c/Smarcd3/Ncor2/Ephb4/Lrp6/Fgfr2/Kat6a/Ednra/Egln1/Bmp5/Nedd4/Smad3/Arid2/Twist1/Npy1r/Smad6/Spry1/Hand1/Hand2/Tgfb2/Thbs1/Isl1/Pbrm1/Foxf1/Fzd1/Foxc2/Fat4/C2cd3/Zfpm1/Fzd2/Foxc1/Kdm2a/Gja5/Nsd2/Sox11/Dhrs3/Bmpr2/Tmem100/Sox4	80
a	a	GO:0048562	embryonic organ morphogenesis	85/2147	347/28928	0.244956772334294	3.30047019566207	12.2066632508347	3.53129414997566e-23	6.94605559300212e-20	4.74680276791465e-20	Tbx2/Sox9/Hoxa4/Sec24b/Smo/Rac1/Prkra/Dvl3/Mef2c/Ctnnb1/Tgfbr1/Fzd3/Hipk1/Bcr/Prox1/Fuz/Cdh23/Aldh1a2/Hoxa2/Gata2/Gata3/Rarb/Kif3a/Psen1/Frs2/Wdpcp/Id2/Ccdc103/Tshr/Gli3/Ror2/Gata4/Fgf9/Ift140/Zeb1/Mib1/Fbn2/Tcf7l2/Sufu/Vangl2/Bmi1/Frzb/Gnas/Pdgfra/Lrp6/Ift122/Fgfr2/Ednra/Stra6/Smad3/Crb2/Twist1/Hoxc9/Alx1/Hand1/Wdr19/Hand2/Hoxa7/Hoxa5/Foxf2/Hoxb5/Bloc1s5/Tgfb2/Hlx/Prrx2/Alx4/Dync2i1/Foxf1/Tcf21/Slitrk6/Foxc2/Tshz1/C2cd3/Hoxb3/Nkx3-2/Fzd2/Kdm2a/Ankrd24/Pou3f4/Hipk2/Sox11/Phactr4/Hoxc4/Hoxb2/Hoxa3	85
a	a	GO:0016055	Wnt signaling pathway	99/2147	467/28928	0.211991434689507	2.85630564634284	11.4508354427651	9.37944317487595e-22	1.38370235437357e-18	9.45595968498678e-19	Sox9/Pfdn5/Rac1/Hbp1/Grk5/Dvl3/Apc/Ctnnb1/Fzd3/Wnt2/Fuz/Amotl1/Gata3/Cmah/Ctdnep1/Psen1/Fbxw11/Gli3/Spin1/Ror2/Fgf9/Amer2/Sema5a/Snai2/Gsk3b/Calcoco1/Nfatc4/Bambi/Ccny/Cdh2/Gnaq/Tmem132a/Tcf7l2/Csnk1d/Limd1/Xiap/Vangl2/Abl1/Zeb2/Frzb/Mdk/Spef1/Ift80/Nfkb1/Cdk14/Ctnnbip1/Lrp6/Fgfr2/Adgra2/Tnks/Sfrp1/Ednra/Smad3/Kank1/Ccar2/Tmem131l/Tle2/Pygo1/Ror1/Bcl9/Rnf146/Rbms3/Lats1/Tax1bp3/Ankrd6/Daam2/Sox30/Zbed3/Isl1/Ppp2r3a/Cxxc4/Shisa2/Dact1/Fzd1/Gskip/Jrk/Zbtb33/Tmem67/Fzd4/Shisa3/Fzd2/Amer1/Adnp/Fgfr3/Gpc3/Hmga2/Usp47/Frat1/Peg12/Trabd2b/Spin4/Mcc/Sox4/Foxd1/Bbip1/Zfp703/Tmem170b/Tpbgl/Foxl1	99
a	a	GO:0072001	renal system development	88/2147	390/28928	0.225641025641026	3.04021592442645	11.4855287960251	2.3141109289458e-21	2.73111371834183e-18	1.86639136185081e-18	Sox9/Serpinf1/Efnb2/Smo/Mef2c/Apc/Ctns/Ctnnb1/Tgfbr1/Id3/Hdac5/Prox1/Aldh1a2/Klhl3/Gata3/Wt1/Ift27/Rarb/Kif3a/Wdpcp/Id2/Nf1/Ttc8/Tshz3/Gli3/Smad5/Vcan/Angpt1/Has2/Adamts1/Gfra1/Maged1/Gdf11/Nrp1/Cflar/Vangl2/Gzf1/Smad9/Ppp3ca/Epha7/Ctnnbip1/Pdgfra/Cux1/Fgfr2/Angpt2/Sfrp1/Hpgd/Ednra/Nek1/Smad1/Irx3/Bmper/Kirrel3/Stra6/Smad3/Rpgrip1l/Pygo1/Wnk4/Smad6/Spry1/Rara/Tbc1d32/BC028528/Tgfb2/Cc2d2a/Magi2/Foxf1/Emx2/Tcf21/Foxc2/Fat4/Cd24a/Dync2h1/Hs3st3a1/Tmem67/Foxc1/Amer1/Pbx1/Lamb2/Gpc3/Dtnbp1/Irx1/Erbb4/Cyp26b1/Sox11/Anks6/Sox4/Foxd1	88
a	a	GO:0030111	regulation of Wnt signaling pathway	79/2147	329/28928	0.240121580547112	3.23532234842425	11.5456133809568	4.62543305122445e-21	4.54911340587925e-18	3.10877789811243e-18	Sox9/Pfdn5/Apc/Ctnnb1/Fuz/Cmah/Ctdnep1/Psen1/Gli3/Spin1/Ror2/Fgf9/Amer2/Sema5a/Snai2/Gsk3b/Nfatc4/Bambi/Ccny/Cdh2/Gnaq/Tmem132a/Tcf7l2/Csnk1d/Limd1/Xiap/Vangl2/Abl1/Zeb2/Frzb/Mdk/Spef1/Ift80/Nfkb1/Cdk14/Ctnnbip1/Lrp6/Fgfr2/Adgra2/Tnks/Sfrp1/Smad3/Kank1/Ccar2/Tmem131l/Tle2/Rnf146/Rbms3/Lats1/Tax1bp3/Ankrd6/Daam2/Sox30/Zbed3/Isl1/Ppp2r3a/Cxxc4/Shisa2/Dact1/Fzd1/Gskip/Jrk/Shisa3/Amer1/Adnp/Fgfr3/Gpc3/Hmga2/Usp47/Frat1/Peg12/Trabd2b/Spin4/Mcc/Sox4/Zfp703/Tmem170b/Tpbgl/Foxl1	79
a	a	GO:0050807	regulation of synapse organization	87/2147	390/28928	0.223076923076923	3.00566801619433	11.2910390902583	8.68556126723895e-21	7.32192814828244e-18	5.00366694959285e-18	Rac1/Efnb3/Chmp2b/Mef2c/Ctnnb1/Adgrl1/Ptprs/Fyn/Psen1/Cyfip2/Nf1/Dlg4/Myh10/Cap2/Ror2/Fam107a/Nefl/Carmil3/Il1rap/Igsf11/Gsk3b/Itsn1/Nfatc4/Cdh2/Cbln2/Ube3a/St8sia2/Itgb1/Stau2/Sema4c/Vangl2/Abl1/Adgrl2/Epha7/Ptprd/Prmt8/Strn4/Rbmx/Gripap1/Dcx/Mecp2/Dctn1/Egln1/Nedd4/Clstn2/Ephb1/Ppp1r9a/Adgrb3/Nrxn2/Zdhhc15/Setd5/Ptpn13/Lrrn1/Dbn1/Lrfn5/Zdhhc17/Lrrn3/Pcdh8/Cdh8/Slitrk2/Arhgap33/Shank2/Adgrl3/Adgrl4/Magi2/Lats1/Grid1/Cux2/Dact1/Fzd1/Slitrk6/Efna5/Adnp/Flrt3/Nlgn2/Il1rapl1/Lrrtm4/Ptprt/Ntrk2/Dtnbp1/Dock1/Ntrk3/Il1rapl2/Kalrn/Zfp804a/Grid2/Slitrk1	87
a	a	GO:0007416	synapse assembly	74/2147	304/28928	0.243421052631579	3.2797783933518	11.3140628977885	3.50976146310388e-20	2.31740233598002e-17	1.58366884277231e-17	Efnb2/Rac1/Efnb3/Large1/Mef2c/Ctnnb1/Adgrl1/Ptprs/Crk/Cyfip2/Dlg4/Fam107a/Carmil3/Il1rap/Igsf11/Gsk3b/Cdh2/Cbln2/Arhgef9/St8sia2/Stau2/Sema4c/Abl1/Adgrl2/Epha7/Ptprd/Dock7/Efnb1/Dcx/Gabre/Gabra3/Mecp2/Kirrel3/Clstn2/Ephb1/Ppp1r9a/Adgrb3/Nrxn2/Setd5/Ptpn13/Lrrn1/Pcdh17/Lrfn5/Lrrn3/Slitrk2/Arhgap33/Shank2/Adgrl3/Adgrl4/Zdhhc2/Magi2/Lats1/Sdk2/Cux2/Fzd1/Slitrk6/Efna5/Lrrc4/Dscam/Adnp/Flrt3/Nlgn2/Il1rapl1/Lrrtm4/Plxnb1/Ntrk2/Dock1/Ntrk3/Il1rapl2/Pclo/Erbb4/Cbln4/Grid2/Slitrk1	74
a	a	GO:0050803	regulation of synapse structure or activity	87/2147	398/28928	0.218592964824121	2.94525257868289	11.0642243950369	3.53442145802748e-20	2.31740233598002e-17	1.58366884277231e-17	Rac1/Efnb3/Chmp2b/Mef2c/Ctnnb1/Adgrl1/Ptprs/Fyn/Psen1/Cyfip2/Nf1/Dlg4/Myh10/Cap2/Ror2/Fam107a/Nefl/Carmil3/Il1rap/Igsf11/Gsk3b/Itsn1/Nfatc4/Cdh2/Cbln2/Ube3a/St8sia2/Itgb1/Stau2/Sema4c/Vangl2/Abl1/Adgrl2/Epha7/Ptprd/Prmt8/Strn4/Rbmx/Gripap1/Dcx/Mecp2/Dctn1/Egln1/Nedd4/Clstn2/Ephb1/Ppp1r9a/Adgrb3/Nrxn2/Zdhhc15/Setd5/Ptpn13/Lrrn1/Dbn1/Lrfn5/Zdhhc17/Lrrn3/Pcdh8/Cdh8/Slitrk2/Arhgap33/Shank2/Adgrl3/Adgrl4/Magi2/Lats1/Grid1/Cux2/Dact1/Fzd1/Slitrk6/Efna5/Adnp/Flrt3/Nlgn2/Il1rapl1/Lrrtm4/Ptprt/Ntrk2/Dtnbp1/Dock1/Ntrk3/Il1rapl2/Kalrn/Zfp804a/Grid2/Slitrk1	87
a	a	GO:0060485	mesenchyme development	77/2147	328/28928	0.234756097560976	3.16302952503209	11.1550283431077	6.17510057293486e-20	3.64392684808886e-17	2.49019055735931e-17	Tbx2/Sox9/Loxl3/Meox1/Smo/Fbxo11/Mef2c/Ctnnb1/Tgfbr1/Wnt2/Fuz/Aldh1a2/Gata3/Gata5/Wt1/Tbx5/Bmpr1a/Gata4/Fgf9/Sema5a/Has2/Emp2/Snai2/Gsk3b/Bambi/Slc39a6/Cdh2/Pdcd4/Tcf7l2/Nrp1/Sema4c/Vangl2/Olfm1/Zeb2/Frzb/Sema6d/Mdk/Bnc2/Sema3c/Lrp6/Fgfr2/Efnb1/Sfrp1/Ednra/Bmp5/Nedd4/Smad3/Crb2/Twist1/Alx1/Spry1/Hand1/Hand2/Hoxa5/Cul7/Tgfb2/Ncam1/Thbs1/Isl1/Foxf1/Tcf21/Foxc2/Foxc1/Amer1/Epha3/Hmga2/Mcrip1/Qki/Erbb4/Clasp1/Phactr4/Bmpr2/Usf3/Tmem100/Sox4/Foxd1/Zfp703	77
