1700028K03Rik	small ovary; small testis; male infertility; female infertility
1700102P08Rik	small testis; male infertility
2510002D24Rik	abnormal testis morphology; small testis
4930447C04Rik	abnormal ovary morphology; small testis; male infertility; female infertility; abnormal ovarian follicle number
4930451I11Rik	reduced male fertility; male infertility; female infertility
4930590J08Rik	small testis; reduced male fertility; male infertility; abnormal testis physiology; increased testis apoptosis
Abca1	abnormal ovary morphology; reduced male fertility; reduced female fertility; female infertility
Abcg5	male infertility; female infertility
Abcg8	male infertility; female infertility
Abhd2	abnormal ovary morphology; abnormal ovarian folliculogenesis; increased mature ovarian follicle number; decreased tertiary ovarian follicle number; increased atretic ovarian follicle number
Abo	abnormal testis morphology; small testis
Acox1	small ovary; small testis; reduced fertility; male infertility; female infertility
Acrbp	reduced male fertility; male infertility
Acsl4	reduced female fertility; enlarged ovary
Actl7b	small testis; male infertility; decreased testis weight
Acvr2a	abnormal ovary morphology; small testis; reduced female fertility; female infertility; abnormal testis development; decreased testis weight; delayed male fertility; increased atretic ovarian follicle number
Adad2	male infertility; female infertility; decreased testis weight
Adam26a	abnormal testis morphology; small testis
Adamts12	abnormal testis morphology; enlarged testis
Adamts1	reduced female fertility; decreased mature ovarian follicle number
Adcy3	reduced male fertility; reduced female fertility; abnormal fertility/fecundity
Adcyap1	reduced fertility; reduced female fertility; abnormal sexual interaction
Adgb	male infertility; decreased testis weight
Adgrg1	abnormal testis morphology; small testis; reduced male fertility; disorganized testis cords
Adgrg2	enlarged testis; reduced male fertility; dilated efferent ductule of testis
Adgrv1	abnormal testis morphology; small testis
Adipor2	small testis; male infertility; decreased testis weight; decreased gonadal fat pad weight
Adm2	abnormal ovary morphology; abnormal testis morphology; small testis
Adnp2	abnormal ovary morphology
Adra1b	small testis; reduced male fertility; male infertility; decreased testis weight
Adra2a	abnormal testis morphology; small testis
Adrm1	abnormal ovary morphology; abnormal ovarian follicle morphology; male infertility; female infertility; ovarian follicular cyst; absent primordial ovarian follicles
Aff1	reduced male fertility; female infertility
Aff4	small testis; male infertility
Afp	abnormal ovary morphology; female infertility; abnormal sexual interaction
Agpat1	male infertility; female infertility; increased tertiary ovarian follicle number
Agps	small testis; male infertility
Agtpbp1	reduced fertility; reduced male fertility; reduced female fertility; infertility; male infertility; testicular atrophy
Ahr	small ovary; abnormal ovarian folliculogenesis; reduced female fertility; abnormal ovary physiology; decreased testis weight; decreased ovary weight; increased primordial ovarian follicle number; decreased tertiary ovarian follicle number; decreased secondary ovarian follicle number
Aire	ovary inflammation; reduced fertility; reduced male fertility; infertility
Ak7	abnormal ovary morphology; abnormal testis morphology; small testis; male infertility
Akap12	infertility; delayed fertility; delayed male fertility; delayed female fertility
Akap9	abnormal testis morphology; male infertility; decreased testis weight
Akt2	abnormal ovary morphology; ovary cyst
Alas1	abnormal ovary morphology; enlarged ovary
Alkbh1	small testis; decreased testis weight
Alkbh5	small testis; reduced male fertility; decreased testis weight
Alk	small testis; delayed sexual maturation; decreased testis weight; delayed male fertility; increased testis apoptosis
Alx3	reduced female fertility
Ambp	reduced female fertility; female infertility
Amelx	abnormal testis morphology; small testis
Amhr2	reduced male fertility; male infertility; secondary sex reversal
Amh	reduced male fertility; secondary sex reversal; abnormal secondary sex determination; increased ovary weight; decreased primordial ovarian follicle number; increased tertiary ovarian follicle number; increased secondary ovarian follicle number
Ankrd31	small testis; reduced female fertility; male infertility; decreased testis weight
Ank	reduced male fertility; reduced female fertility
Ano5	reduced fertility; reduced male fertility
Antxr1	abnormal ovary morphology; female infertility
Aoc1l1	abnormal testis morphology; small testis
Ap3d1	reduced female fertility; male infertility; abnormal fertility/fecundity
Ap4e1	abnormal testis morphology; small testis
Apaf1	reduced male fertility; reduced female fertility; male infertility
Apbb1ip	abnormal testis morphology; enlarged testis
Apc	abnormal ovarian folliculogenesis; abnormal ovarian follicle morphology; absent mature ovarian follicles; ovary atrophy
Apobec1	abnormal testis morphology; small testis
Aqp2	reduced fertility; infertility
Aqp4	impaired ovarian folliculogenesis; reduced female fertility; decreased ovary weight; decreased tertiary ovarian follicle number
Aqp8	abnormal ovarian folliculogenesis; enlarged testis; increased testis weight; enhanced female fertility
Ar	abnormal testis morphology; small testis; reduced fertility; reduced male fertility; female infertility; secondary sex reversal; abnormal secondary sex determination; testicular atrophy; decreased testis weight; increased testis tumor incidence
Arb2a	reduced fertility; sex reversal
Arfip1	abnormal testis morphology; small testis
Arhgap10	abnormal ovary morphology; abnormal sexual interaction
Arhgdia	reduced female fertility; male infertility; abnormal fertility/fecundity
Arid5b	abnormal ovary morphology; absent mature ovarian follicles; small testis; reduced male fertility; female infertility; abnormal fertility/fecundity
Arl16	abnormal testis morphology; small testis
Arnt	female infertility
Arsa	abnormal testis morphology; reduced male fertility; decreased testis weight
Arx	small testis
Asah1	small ovary; decreased gonadal fat pad weight; decreased tertiary ovarian follicle number
Ash1l	reduced male fertility; female infertility
Aspm	small testis; reduced male fertility; reduced female fertility; decreased testis weight; decreased ovary weight
Asz1	male infertility; decreased testis weight
Atat1	reduced male fertility; decreased testis weight
Atf2	abnormal testis morphology; small testis
Atf4	reduced male fertility; male infertility; female infertility
Atg14	abnormal testis morphology; enlarged testis
Atm	small ovary; abnormal testis morphology; small testis; infertility; male infertility; female infertility; absent ovarian follicles; abnormal testis development; abnormal testis size; increased ovary tumor incidence; ovary degeneration
Atn1	small testis; reduced male fertility
Atp1b1	abnormal testis morphology; enlarged testis
Atp7a	male infertility; female infertility
Atr	impaired ovarian folliculogenesis; abnormal ovarian follicle morphology; decreased testis weight; decreased ovary weight; abnormal primary ovarian follicle morphology; increased primordial ovarian follicle number; decreased primary ovarian follicle number; decreased secondary ovarian follicle number
Atxn2	reduced fertility; increased gonadal fat pad weight
Atxn7	male infertility; female infertility
Axdnd1	small testis; male infertility; decreased testis weight
B9d2	abnormal ovary morphology; ectopic ovary
Bag5	abnormal testis morphology; enlarged testis; male infertility
Baiap2	abnormal testis morphology; small testis
Bambi	abnormal testis morphology; small testis
Bard1	small testis; male infertility
Bax	abnormal ovarian folliculogenesis; male infertility; decreased testis weight; increased mature ovarian follicle number; increased atretic ovarian follicle number
Baz1a	male infertility; increased testis apoptosis
Baz2a	small testis
Bcl2l1	small testis; reduced female fertility; male infertility; decreased primordial ovarian follicle number
Bcl2l2	small testis; male infertility; decreased testis weight
Bcl6	reduced male fertility
Bco2	small testis; decreased testis weight
Bcorl1	male infertility; decreased testis weight
Bdnf	reduced male fertility; female infertility
Bend2	small testis; male infertility
Bglap/Bglap2	small testis; decreased testis weight
Blk	abnormal testis morphology; small testis
Bmal1	infertility; female infertility; decreased testis weight
Bmi1	small ovary; small testis; male infertility; female infertility; decreased mature ovarian follicle number; abnormal ovary physiology; abnormal ovary development; decreased testis weight; decreased ovary weight; abnormal testis physiology; decreased primordial ovarian follicle number; decreased primary ovarian follicle number; increased atretic ovarian follicle number; decreased secondary ovarian follicle number
Bmp15	impaired ovarian folliculogenesis; abnormal ovarian folliculogenesis; reduced female fertility; ovary cyst
Bmp4	small testis; reduced female fertility; abnormal fertility/fecundity
Bmp8b	small testis; male infertility; decreased testis weight; testis degeneration
Bmpr1b	abnormal testis morphology; small testis; female infertility
Bmyc	decreased testis weight
Bnc1	small testis; female infertility
Boll	small testis; male infertility; decreased testis weight
Brca1	abnormal ovary morphology; small testis; male infertility
Brca2	small ovary; small testis; male infertility; female infertility; absent ovarian follicles; ovary degeneration
Brd7	small testis; male infertility; decreased testis weight
Brdt	male infertility; delayed sexual maturation; decreased testis weight; abnormal male accessory sex gland morphology
Brip1	small testis; reduced fertility; testis hypoplasia; ovary cyst; testicular atrophy; abnormal ovary development; decreased testis weight; decreased primary ovarian follicle number
Brme1	small testis; male infertility; abnormal ovarian follicle number
Brwd1	small testis; male infertility; female infertility
Bscl2	abnormal testis morphology; male infertility; decreased gonadal fat pad weight
Bsg	abnormal testis morphology; small testis; male infertility; female infertility; abnormal efferent ductules of testis morphology; decreased testis weight
Btbd18	abnormal testis morphology; small testis; male infertility; decreased testis weight; increased testis apoptosis
Btg1	abnormal ovary morphology; enlarged ovary
Bub1b	male infertility; female infertility
Bub1	small testis; reduced male fertility; decreased testis weight
C1qtnf1	abnormal ovary morphology; decreased gonadal fat pad weight
Cacna1a	reduced fertility; reduced male fertility; reduced female fertility; infertility
Cacna2d2	abnormal testis morphology; enlarged testis; reduced fertility; reduced male fertility; reduced female fertility; female infertility; abnormal sexual interaction
Cacnb4	reduced fertility; male infertility
Cactin	abnormal testis morphology; small testis
Cadm1	male infertility; abnormal testis weight; decreased testis weight
Calb1	abnormal testis morphology; small testis
Camk4	abnormal ovarian follicle morphology; abnormal testis morphology; enlarged testis; reduced female fertility; male infertility; decreased testis weight; polyovular ovarian follicle
Camsap3	male infertility; female infertility
Car2	reduced male fertility; dilated rete testis; dilated efferent ductule of testis
Car6	abnormal testis morphology; small testis
Card11	abnormal testis morphology; small testis
Casp2	abnormal testis morphology; enlarged testis; increased primordial ovarian follicle number
Catsperz	reduced male fertility; male infertility
Cav1	reduced fertility; ovary cyst; abnormal gonadal fat pad morphology
Cbfa2t2	small testis; infertility; male infertility; female infertility; absent ovarian follicles; decreased testis weight; ovary hypoplasia
Cbs	female infertility; abnormal ovarian follicle number
Cbx2	small ovary; secondary sex reversal; abnormal primary sex determination; abnormal secondary sex determination; agonadal
Cbx3	small testis; infertility; male infertility
Ccdc38	male infertility; abnormal testis physiology
Ccdc42	abnormal testis morphology; male infertility
Ccdc87	reduced male fertility; male infertility
Ccdc88c	abnormal testis morphology; small testis
Ccna1	reduced male fertility; male infertility; decreased testis weight
Ccnb1ip1	abnormal ovary morphology; abnormal testis morphology; small testis; infertility; male infertility; female infertility
Ccnd2	abnormal ovarian folliculogenesis; small testis; female infertility; decreased testis weight
Ccne2	small testis; reduced male fertility; male infertility; abnormal fertility/fecundity; testicular atrophy
Ccnt2	male infertility; female infertility
Ccs	abnormal ovarian follicle morphology; reduced female fertility; decreased mature ovarian follicle number
Cd27	abnormal testis morphology; small testis
Cd9	reduced female fertility; female infertility; delayed female fertility
Cdan1	abnormal testis morphology; small testis
Cdc14a	reduced male fertility; male infertility
Cdc14b	reduced fertility; reduced male fertility; reduced female fertility
Cdc20	reduced female fertility; female infertility
Cdh11	abnormal testis morphology; small testis
Cdh5	abnormal ovary morphology; ovary cyst; enlarged ovary; ovarian follicular cyst; ovary fibrosis
Cdk16	abnormal testis morphology; male infertility
Cdk2	abnormal ovary morphology; small testis; reduced male fertility; infertility; male infertility; female infertility; abnormal fertility/fecundity; absent ovarian follicles; testicular atrophy; ovary atrophy; absent primordial ovarian follicles
Cdk4	small ovary; abnormal testis morphology; small testis; reduced male fertility; male infertility; female infertility; abnormal fertility/fecundity; decreased testis weight
Cdk5rap2	reduced fertility; male infertility; increased ovary adenoma incidence
Cdk6	reduced female fertility; decreased mature ovarian follicle number
Cdkn1a	abnormal testis morphology; small testis
Cdkn1b	impaired ovarian folliculogenesis; abnormal ovarian follicle morphology; enlarged testis; testicular hyperplasia; female infertility; enlarged ovary; increased ovary tumor incidence; absent tertiary ovarian follicles
Cdkn1c	female infertility; delayed sexual maturation; abnormal fertility/fecundity; abnormal testis development; increased atretic ovarian follicle number
Cdkn2a	male infertility; testicular atrophy; increased testis weight; decreased testis weight
Cdkn2c	small testis; enlarged testis; increased testis tumor incidence
Cdo1	male infertility; abnormal fertility/fecundity
Cebpa	abnormal gonadal fat pad morphology
Cebpb	impaired ovarian folliculogenesis; female infertility; decreased gonadal fat pad weight
Celf1	reduced male fertility; reduced female fertility; male infertility
Celsr1	abnormal testis morphology; enlarged testis; reduced fertility; male infertility; female infertility; testicular atrophy
Cenpb	small testis; reduced female fertility; abnormal fertility/fecundity
Cep131	abnormal testis morphology; male infertility; decreased testis weight
Cep250	small testis; reduced female fertility; male infertility; decreased ovary weight
Cep290	male infertility; female infertility
Cep63	small testis; male infertility; testis hypoplasia; abnormal testis development; decreased testis weight; increased testis apoptosis
Cep70	small testis; male infertility; decreased testis weight
Cer1	abnormal testis morphology; small testis
Cfap206	male infertility; female infertility
Cfap53	male infertility; abnormal ovary topology
Cfap61	male infertility; increased testis apoptosis
Cfap65	small testis; male infertility; decreased testis weight
Cfap91	abnormal testis morphology; small testis; male infertility
Cftr	small ovary; reduced male fertility; reduced female fertility; female infertility; delayed sexual maturation; decreased ovary weight
Cga	small ovary; impaired ovarian folliculogenesis; absent mature ovarian follicles; small testis; male infertility; female infertility
Ch25h	abnormal ovary morphology; abnormal testis morphology; small testis
Chchd10	abnormal testis morphology; small testis
Chchd2	abnormal testis morphology; enlarged testis
Chd7	reduced fertility; reduced male fertility; reduced female fertility; delayed sexual maturation; testis hypoplasia; delayed fertility; decreased testis weight
Chdh	reduced male fertility; male infertility; female infertility
Chmp2b	abnormal testis morphology; small testis
Chrna7	reduced fertility; reduced female fertility
Chst10	reduced male fertility; reduced female fertility
Chst8	ovary hyperplasia; abnormal fertility/fecundity; early sexual maturation; increased testis weight; increased ovary secretion
Chsy3	male infertility; female infertility
Chtf18	reduced male fertility; decreased testis weight
Chuk	abnormal testis morphology; small testis
Cib1	male infertility; decreased testis weight
Cib4	male infertility; decreased testis weight
Cidec	abnormal gonadal fat pad morphology; decreased gonadal fat pad weight
Cks2	male infertility; female infertility; testicular atrophy
Clasp1	abnormal testis morphology; small testis
Clca2	abnormal testis morphology; small testis
Clcn1	reduced fertility; reduced female fertility; infertility; male infertility
Clcn2	abnormal testis morphology; small testis; male infertility; abnormal testis development; testis degeneration
Clcn3	reduced fertility; reduced male fertility
