"external_gene_name","entrezgene_id","transcript_biotype"
"Gm20816",100039810,"protein_coding"
"Gm20816",100861743,"protein_coding"
"Gm20816",100862360,"protein_coding"
"Gm20816",108168596,"protein_coding"
"Gm20817",NA,"protein_coding"
"Gm21094",NA,"protein_coding"
"Gm28079",75204,"protein_coding"
"Gm20870",73329,"protein_coding"
"Gm20903",100042110,"protein_coding"
"Gm20905",108168510,"protein_coding"
"Gm21913",NA,"protein_coding"
"Gm20738",382133,"protein_coding"
"Gm20738",108168660,"protein_coding"
"Gm20814",108167378,"protein_coding"
"Gm20850",100040712,"protein_coding"
"Gm20897",108168548,"protein_coding"
"Gm21776",NA,"protein_coding"
"Gm21882",NA,"protein_coding"
"Gm20867",100041256,"protein_coding"
"Gm20867",100861743,"protein_coding"
"Gm20867",100862360,"protein_coding"
"Gm20867",108168574,"protein_coding"
"Gm20867",108168596,"protein_coding"
"Gm21797",NA,"protein_coding"
"Gm20795",100039034,"protein_coding"
"Gm20795",100040335,"protein_coding"
"Gm20795",100862345,"protein_coding"
"Gm21800",NA,"protein_coding"
"Gm20806",100039574,"protein_coding"
"Gm20806",100040429,"protein_coding"
"Gm20806",100042268,"protein_coding"
"Gm20806",100042475,"protein_coding"
"Gm20806",100861821,"protein_coding"
"Gm20806",108168537,"protein_coding"
"Gm20806",108168538,"protein_coding"
"Gm20806",108168539,"protein_coding"
"Gm20806",108168540,"protein_coding"
"Gm20806",108168541,"protein_coding"
"Gm20806",108168542,"protein_coding"
"Gm20806",108168543,"protein_coding"
"Gm20806",108168549,"protein_coding"
"Gm20806",108168550,"protein_coding"
"Gm20806",108168556,"protein_coding"
"Gm20806",108168561,"protein_coding"
"Gm20806",108168562,"protein_coding"
"Gm20806",108168563,"protein_coding"
"Gm20806",108168597,"protein_coding"
"Gm20806",108168665,"protein_coding"
"Gm20806",118567358,"protein_coding"
"Gm29276",NA,"protein_coding"
"Gm20854",100040911,"protein_coding"
"Gm20854",108168565,"protein_coding"
"Gm20854",108168597,"protein_coding"
"Gm20820",NA,"protein_coding"
"Gm20883",108168553,"protein_coding"
"Gm21477",108168559,"protein_coding"
"Gm20906",100042201,"protein_coding"
"Gm20747",434960,"protein_coding"
"Gm20747",100041284,"protein_coding"
"Gm20747",100862371,"protein_coding"
"Gm20747",108168629,"protein_coding"
"Gm20929",100042578,"protein_coding"
"Gm21748",NA,"protein_coding"
"Gm20823",100040031,"protein_coding"
"Gm20823",108168570,"protein_coding"
"Gm20823",108168660,"protein_coding"
"Gm21627",108168557,"protein_coding"
"Gm20908",100042279,"protein_coding"
"Gm20908",100861691,"protein_coding"
"Gm20924",108168660,"protein_coding"
"Gm20924",108168662,"protein_coding"
"Gm20736",380994,"protein_coding"
"Gm20852",100040786,"protein_coding"
"Gm20852",108168575,"protein_coding"
"Ssty2",70009,"protein_coding"
"Ssty2",100861817,"protein_coding"
"Ssty2",108168622,"protein_coding"
"Gm20937",108168524,"protein_coding"
"Gm20937",108168525,"protein_coding"
"Gm20937",108168532,"protein_coding"
"Gm20937",108168595,"protein_coding"
"Gm21366",100861973,"protein_coding"
"Gm20809",100039614,"protein_coding"
"Gm20809",108168580,"protein_coding"
"Gm20809",108168583,"protein_coding"
"Gm20809",108168584,"protein_coding"
"Gm20809",108168585,"protein_coding"
"Gm20809",108168586,"protein_coding"
"Gm20809",108168602,"protein_coding"
"Gm20809",108168603,"protein_coding"
"Gm20809",108168604,"protein_coding"
"Gm20809",108168605,"protein_coding"
"Gm20809",108168606,"protein_coding"
"Gm20809",108168607,"protein_coding"
"Gm20809",108168610,"protein_coding"
"Gm20809",108168611,"protein_coding"
"Gm20809",108168666,"protein_coding"
"Gm20809",108168667,"protein_coding"
"Gm20809",108168668,"protein_coding"
"Gm20809",108168670,"protein_coding"
"Gm20809",118568459,"protein_coding"
"Gm21921",NA,"protein_coding"
"Gm21773",NA,"protein_coding"
"Gm29289",NA,"protein_coding"
"Gm21677",100862365,"protein_coding"
"Gm21693",100862383,"protein_coding"
"Gm21704",100862394,"protein_coding"
"Gm21708",100862398,"protein_coding"
"Gm3376",100041505,"protein_coding"
"Gm20918",108168642,"protein_coding"
"Gm21820",NA,"protein_coding"
"Gm20873",100041362,"protein_coding"
"Gm20830",108168638,"protein_coding"
"Gm28998",101056194,"protein_coding"
"Gm20826",100040160,"protein_coding"
"Gm28576",101056210,"protein_coding"
"Gm29049",NA,"protein_coding"
"Gm20825",108168578,"protein_coding"
"Gm20824",105247282,"protein_coding"
"Gm20815",100039753,"protein_coding"
"Gm20815",115489283,"protein_coding"
"Gm20815",115489284,"protein_coding"
"Gm20815",115489285,"protein_coding"
"Gm20815",115489286,"protein_coding"
"Gm20815",115489287,"protein_coding"
"Gm20815",115489288,"protein_coding"
"Gm20815",115489291,"protein_coding"
"Gm20815",115489292,"protein_coding"
"Gm20815",115489293,"protein_coding"
"Gm20815",115489294,"protein_coding"
"Gm20815",115489297,"protein_coding"
"Gm20815",115489301,"protein_coding"
"Gm20815",115489302,"protein_coding"
"Gm20815",115489303,"protein_coding"
"Gm21310",100861899,"protein_coding"
"Gm20834",108168637,"protein_coding"
"Gm20828",100040187,"protein_coding"
"Gm21767",NA,"protein_coding"
"Gm20822",100040022,"protein_coding"
"Gm20909",100041284,"protein_coding"
"Gm20909",100862371,"protein_coding"
"Gm20909",108168554,"protein_coding"
"Gm20909",108168629,"protein_coding"
"Gm20865",100041223,"protein_coding"
"Zfy1",22767,"protein_coding"
"Uba1y",22202,"protein_coding"
"Kdm5d",20592,"protein_coding"
"Eif2s3y",26908,"protein_coding"
"Uty",22290,"protein_coding"
"Ddx3y",26900,"protein_coding"
"Usp9y",107868,"protein_coding"
"Zfy2",22768,"protein_coding"
"H2al2c",547210,"protein_coding"
"Sry",21674,"protein_coding"
"H2al2b",100042840,"protein_coding"
"Gm4064",100042849,"protein_coding"
"Rbmy",19657,"protein_coding"
"Gm10256",100042874,"protein_coding"
"Gm10352",100042881,"protein_coding"
"Rbm31y",74484,"protein_coding"
"Rbm31y",100861987,"protein_coding"
"Gm20772",665276,"protein_coding"
"Gm20772",100039014,"protein_coding"
"Gm20831",100039014,"protein_coding"
"Gm20831",100040223,"protein_coding"
"Ssty1",20611,"protein_coding"
"Ssty1",100042337,"protein_coding"
"Gm20877",100041550,"protein_coding"
"Gm20807",100039595,"protein_coding"
"Gm20807",100040262,"protein_coding"
"Gm21440",100039014,"protein_coding"
"Gm21440",100862059,"protein_coding"
"Gm21454",100042337,"protein_coding"
"Gm21454",100862075,"protein_coding"
"",NA,"protein_coding"
"Sly",382301,"protein_coding"
"Sly",100861691,"protein_coding"
"Gm21943",434935,"protein_coding"
"Gm21943",108168625,"protein_coding"
"Gm21943",108168634,"protein_coding"
"Gm21943",108168635,"protein_coding"
"Gm21943",108168659,"protein_coding"
"Gm21943",108168661,"protein_coding"
"Gm21943",108168663,"protein_coding"
"Gm21943",108168664,"protein_coding"
"Gm28961",NA,"protein_coding"
"Gm21118",100861667,"protein_coding"
"Gm29424",NA,"protein_coding"
"Gm21822",NA,"protein_coding"
"Gm29554",NA,"protein_coding"
"Gm20812",108168614,"protein_coding"
"Gm21258",100861839,"protein_coding"
"Gm20931",100042594,"protein_coding"
"Gm20917",100042428,"protein_coding"
"Gm20917",108168609,"protein_coding"
"Gm20916",100042417,"protein_coding"
"Gm20916",100861691,"protein_coding"
"Gm20855",100861691,"protein_coding"
"Gm20855",108168545,"protein_coding"
"Gm20896",108168555,"protein_coding"
"Gm20869",NA,"protein_coding"
"Gm21394",108168579,"protein_coding"
"Gm21409",100862025,"protein_coding"
"Gm20920",100861691,"protein_coding"
"Gm20920",108168558,"protein_coding"
"Gm20894",100861691,"protein_coding"
"Gm20894",108168547,"protein_coding"
"Gm21317",100861691,"protein_coding"
"Gm21317",100861906,"protein_coding"
"Gm20835",100861691,"protein_coding"
"Gm20835",108168509,"protein_coding"
"Gm20911",108168582,"protein_coding"
"Gm21117",108168594,"protein_coding"
"Gm20888",108168527,"protein_coding"
"Gm21650",108168524,"protein_coding"
"Gm21650",108168532,"protein_coding"
"Gm21650",108168533,"protein_coding"
"Gm21650",108168595,"protein_coding"
"Gm21518",108168520,"protein_coding"
"Gm21518",108168524,"protein_coding"
"Gm21518",108168532,"protein_coding"
"Gm21518",108168595,"protein_coding"
"Gm21209",108168515,"protein_coding"
"Gm21209",108168524,"protein_coding"
"Gm21209",108168532,"protein_coding"
"Gm21209",108168595,"protein_coding"
"Gm20843",108168524,"protein_coding"
"Gm20843",108168530,"protein_coding"
"Gm20843",108168532,"protein_coding"
"Gm20843",108168595,"protein_coding"
"Gm21294",NA,"protein_coding"
"Gm21095",NA,"protein_coding"
"Gm21488",108168551,"protein_coding"
"Gm20890",108168552,"protein_coding"
"Gm21173",NA,"protein_coding"
"Gm21497",NA,"protein_coding"
"Gm28553",108168590,"protein_coding"
"Gm21760",NA,"protein_coding"
"Gm21858",NA,"protein_coding"
"1700040F15Rik",NA,"protein_coding"
"Gm20792",NA,"protein_coding"
"Gm21865",108168511,"protein_coding"
"Gm35134",102638610,"protein_coding"
"Gm30737",102632745,"protein_coding"
"Gm21996",NA,"protein_coding"
"Gm28102",NA,"protein_coding"
"Gm28490",NA,"protein_coding"
"Gm29582",NA,"protein_coding"
"Gm28870",NA,"protein_coding"
"Gm21739",NA,"protein_coding"
"Gm21256",NA,"protein_coding"
"Gm20838",NA,"protein_coding"
"Gm28891",NA,"protein_coding"
"Gm20837",NA,"protein_coding"
"Gm21861",NA,"protein_coding"
"Gm28897",NA,"protein_coding"
"Gm29564",NA,"protein_coding"
"Gm28827",NA,"protein_coding"
"Gm29110",NA,"protein_coding"
"Gm31571",NA,"protein_coding"
"Gm29866",NA,"protein_coding"
"Gm20777",665687,"protein_coding"
"Gm20777",100039014,"protein_coding"
"Gm28510",NA,"protein_coding"
"Gm20737",382131,"protein_coding"
"Gm20737",100039014,"protein_coding"
"Gm28919",NA,"protein_coding"
"Gm21719",NA,"protein_coding"
"Gm28171",NA,"protein_coding"
"Gm21778",118568460,"protein_coding"
