Gene,Cell_type,Figure
Klf4,ESC,main
Pou5f1,ESC,main
Nanog,ESC,main
Zfp42,ESC,main
Sox2,ESC,main
Gjb5,ESC,main
Dppa3,EpiSC,main
Fgf5,EpiSC,main
Lin28b,EpiSC,main
Eomes,Mesoderm,main
Mixl1,Mesoderm,main
T,Mesoderm,main
Nr5a1,Somatic cells,sup
Wt1,Somatic cells,sup
Gata4,Somatic cells,sup
Zfpm2,Somatic cells,sup
Foxl2,Pre-granulosa cells,main
Fst,Pre-granulosa cells,main
Bmp2,Pre-granulosa cells,main
Wnt4,Pre-granulosa cells,main
Runx1,Pre-granulosa cells,sup
Rspo1,Pre-granulosa cells,sup
Lhx9,Pre-granulosa cells,sup
Emx2,Pre-granulosa cells,sup
Sox9,Sertoli cells,main
Sox8,Sertoli cells,main
Fgf9,Sertoli cells,main
Amh,Sertoli cells,sup
Dhh,Sertoli cells,main
Ptgds,Sertoli cells,main
Gdnf,Sertoli cells,sup
Aard,Sertoli cells,sup
Mael,Germ cells,sup
Dazl,Germ cells,sup
Ddx4,Germ cells,sup
Nanos3,Germ cells,sup
Ptn,Interstitium/Stroma cells,sup
Nr2f2,Interstitium/Stroma cells,sup
Tcf21,Interstitium/Stroma cells,sup
Pdgfra,Interstitium/Stroma cells,sup
